Industry,co2_c,ch4_c,n2o_c,sox_c,nox_c,pm10_c,pm2.5_c,co2_nc,ch4_nc,n2o_nc,sox_nc,nox_nc,pm10_nc,pm2.5_nc,sf6,hfc,pfc
Manufacture of other transport equipment,4.76E+05,19.618,25.782,1272.1,1448.5,161.59,103.84,68760,892.04,10.578,55.468,19.357,16.054,10.542,0.073574,1125.4,620.81
Manufacture of furniture; manufacturing n.e.c.,5.97E+05,36.892,34.721,1634.3,1915.1,289.18,219.25,61841,1088.6,20.37,76.625,33.723,21.082,14.473,0.053202,1689.1,438.7
Recycling of waste and scrap,1.09E+07,979.49,1369.6,4043.6,41152,2287.5,1840.8,1.23E+05,1413.3,37.361,98.477,47.615,20.378,13.867,0.076883,966.88,574.74
Recycling of bottles by direct reuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Production of electricity by coal,3.35E+07,359.42,539.04,1.14E+05,1.09E+05,7009.4,3174.3,16286,48454,2.7513,11.125,4.8393,40.058,2.9835,0.1822,450.71,90.524
Production of electricity by gas,1.65E+07,305.33,55.656,941.65,26961,361.71,328.89,29419,1104.3,9.5786,25.372,12.806,8.4649,5.3705,0.092293,661.69,131.83
Production of electricity by nuclear,83169,4.7514,6.0174,138.5,294.58,22.275,16.389,7483.1,239.7,1.0267,4.2054,2.0234,2.3507,1.4494,0.017301,103.28,33.3
Production of electricity by hydro,1.02E+05,5.7384,7.103,178.61,365.63,27.28,20.123,10851,461.76,1.4083,5.1156,2.6042,3.1974,1.9633,0.015372,123.12,36.24
Production of electricity by wind,1.05E+05,5.9142,7.3538,182.98,376.43,28.24,20.854,11148,447.75,1.4299,5.284,2.6797,3.3224,2.0306,0.016041,127.6,37.937
Production of electricity by petroleum and other oil derivatives,2.78E+07,1027.4,1350.1,1.34E+05,82970,5158.2,3311.9,69691,10780,16.718,36.228,16.732,12.58,8.8736,0.063252,1133.8,178.84
Production of electricity by biomass and waste,1.06E+07,12531,1678.4,3315.2,99760,17909,15546,14578,699.64,2.1621,8.2808,3.9862,4.3417,2.7657,0.026347,198.26,63.135
Production of electricity by solar photovoltaic,1.20E+05,6.6806,8.2027,217.58,428.65,32.926,24.142,11724,420.72,1.5624,6.0892,3.0797,3.7153,2.2773,0.017735,143.51,41.999
Production of electricity by solar thermal,1.11E+05,6.1531,7.6858,197.35,390.5,30.359,22.36,10595,341.42,1.3941,5.5518,2.8135,3.4184,2.0848,0.016142,126.45,38.175
"Production of electricity by tide, wave, ocean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Production of electricity by Geothermal,1.13E+05,6.2884,7.809,204.27,401.7,31.126,22.869,10927,383.94,1.5837,5.8533,2.9979,3.4983,2.1423,0.016734,134.89,39.392
Production of electricity nec,2.43E+05,10.799,11.237,319.75,781.37,45.076,32.488,14357,541.09,2.8865,9.12,4.616,4.3912,2.7205,0.029346,228.77,55.8
Transmission of electricity,1.73E+05,10.824,13.002,271.34,649.04,43.374,31.219,14845,1121.8,2.2186,7.1604,3.5276,4.0134,2.5223,0.012329,195.52,49.993
Distribution and trade of electricity,1.51E+05,9.6152,12.315,218.03,548.44,38.17,28.418,11678,516.53,1.5791,5.8464,2.9497,3.5416,2.1792,0.011187,137.23,40.809
Manufacture of gas; distribution of gaseous fuels through mains,1.04E+06,34.479,30.279,981.51,2712.5,129.68,90.189,39432,996.81,10.279,28.204,13.743,11.366,6.9612,0.087765,787.49,204.65
Steam and hot water supply,1.36E+09,73572,15357,1.35E+06,2.96E+06,1.61E+05,1.11E+05,21694,1145.7,3.3858,9.8679,5.0744,5.712,3.5005,0.036042,300.15,82.208
"Collection, purification and distribution of water",2.45E+05,16.276,23.26,382.45,904.39,70.598,52.101,21640,374.95,2.8149,9.565,5.154,6.4339,3.7601,0.023729,277.62,87.01
Construction,5.01E+05,26.63,36.346,1139.2,1727.8,178.12,133.94,1.06E+05,1431.6,8.6325,31.128,19.453,30.478,17,0.060072,730.32,271.31
Re-processing of secondary construction material into aggregates,2.15E+05,5.7239,4.6882,602.5,661.41,45.816,24.978,1546.1,285.02,0.49458,2.6663,1.3244,1.1662,0.71259,0.0045655,46.189,9.8843
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",2.57E+05,11.426,17.504,628.35,879.92,80.917,53.796,18447,518.06,5.4403,16.334,7.5732,5.1251,3.5313,0.02828,466.39,152.49
Retail sale of automotive fuel,3.22E+05,16.869,26.791,787.81,1127.5,116.83,90.487,90627,538.25,3.298,12.166,5.7285,34.818,18.073,0.02186,370.7,138.51
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",2.52E+05,14.965,27.362,428.79,1027.2,75.918,56.253,8299.8,402.99,2.667,12.057,5.9346,4.6299,3.1867,0.01099,244.33,52.52
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",4.52E+05,25.467,31.02,800.22,1535.3,106.08,71.425,6591.2,462.12,1.9406,9.9759,4.9185,3.9012,2.6224,0.014904,286.39,44.512
Hotels and restaurants,4.63E+05,21.958,23.717,1129,1551.5,138.17,96.473,19399,726.24,4.7958,24.795,12.331,11.476,7.5415,0.038582,413.41,96.661
Transport via railways,1.25E+06,71.086,407.7,706.88,17411,540.5,496.99,29857,1543.8,5.0224,17.731,7.9213,7.166,4.8151,0.065278,355.46,146.89
Other land transport,6.67E+05,40.374,135.88,701.92,4051.9,210.64,171.14,29423,2491.2,5.6044,17.442,8.0468,6.6541,4.8008,0.028499,429.58,125.05
Transport via pipelines,2.51E+06,534.12,160.92,1425.1,41118,409.68,344.19,62199,4676.6,9.6941,34.728,15.58,14.545,10.032,0.046573,825.05,293.1
Sea and coastal water transport,1.58E+06,101.68,115.7,19371,28912,2413.8,2371.5,30415,772.68,4.4768,21.769,8.1631,6.9515,4.5498,0.068138,594.89,256.18
Inland water transport,4.15E+06,393.56,144.91,14524,88853,1656.1,1599.7,54989,886.95,6.3926,36.564,12.654,11.05,7.3624,0.070052,865.37,476.7
Air transport,2.99E+06,38.623,104.79,1579.8,9975.5,101.48,140.28,41734,4730.2,6.4049,18.075,8.5559,8.2007,6.0847,0.025143,417.24,114.18
Supporting and auxiliary transport activities; activities of travel agencies,4.76E+05,24.647,84.19,649.71,2567.9,145.09,112.36,11067,639.3,3.4325,12.667,6.2518,4.5766,3.1203,0.025127,251.51,69.963
Post and telecommunications,4.12E+05,23.962,75.176,515.55,2274.4,132.25,103.6,15144,630.29,3.0339,11.425,5.2027,5.1557,3.3479,0.030394,379.44,93.394
"Financial intermediation, except insurance and pension funding",1.28E+05,6.9306,9.6447,238.28,455.11,34.547,24.101,4144.3,201.08,1.1936,5.2755,2.5535,2.0538,1.3931,0.0075338,138.49,28.475
"Insurance and pension funding, except compulsory social security",1.01E+05,6.2414,8.3263,176.65,361.92,29.841,21.613,3265.9,151.01,1.2505,5.8063,2.757,2.0665,1.4446,0.0048037,119.47,25.588
Activities auxiliary to financial intermediation,81709,4.7836,6.3719,138.86,288.28,22.529,16.571,3569.5,134.68,0.85594,4.1632,2.0367,1.7213,1.1628,0.0047429,85.097,21.381
Real estate activities,1.57E+05,7.5396,7.5863,353.29,506.92,42.004,28.705,7401.2,235.52,1.0815,3.7773,2.3764,2.2529,1.3178,0.0089914,88.98,25.303
Renting of machinery and equipment without operator and of personal and household goods,4.04E+05,28.105,35.447,494.39,1394.9,91.38,66.337,7177.4,295.75,1.7486,8.4514,3.9014,3.3319,2.1913,0.010085,152.49,50.113
Computer and related activities,1.91E+05,9.8804,13.824,378.72,678.61,52.242,35.503,7189.9,281.07,1.9534,7.8439,3.6876,3.1297,2.0624,0.0086745,225.66,54.449
Research and development,3.13E+05,18.653,21.116,1298.3,2133.4,173.94,150.11,16014,603.79,5.0223,15.132,7.7718,6.1712,3.9641,0.019408,359.85,85.544
Other business activities,2.79E+05,19.135,25.893,373.87,974.19,69.195,50.845,7689,405.93,2.349,8.8726,4.4346,3.4517,2.3581,0.008464,195.92,46.744
Public administration and defence; compulsory social security,3.77E+05,18.049,21.782,778.58,1286.2,111.05,83.718,19137,1190.1,7.628,23.826,12.164,8.7939,5.837,0.06858,490.26,109.2
Education,4.49E+05,17.912,19.195,1045.1,1452.3,108.03,69.517,9683.7,582.71,3.8291,13.159,6.7122,4.7008,3.1185,0.14597,417.21,72.22
Health and social work,2.62E+05,13.537,15.55,609.1,880.41,80.352,56.562,10551,515.41,13.912,26.896,15.491,6.5159,4.5406,0.019905,394.28,69.506
Incineration of waste: Food,2.91E+05,14.887,19.033,662.37,1009.1,92.524,64.688,21383,842.35,5.7994,19.295,9.2613,7.4882,4.9351,0.32153,764.7,153.58
Incineration of waste: Paper,2.82E+05,14.241,18.106,646.2,978.53,89.006,62.074,20510,795.76,5.4808,18.592,8.9358,7.3487,4.8378,0.07717,472.05,139.97
Incineration of waste: Plastic,2.56E+05,12.295,15.166,603.05,878.48,80.009,55.25,18313,614.51,4.3024,16.692,7.856,6.9776,4.5673,0.077852,424.56,127.25
Incineration of waste: Metals and Inert materials,4.82E+05,31.917,54.032,677.1,1940.6,137.45,102.67,20298,672.99,4.5139,17.951,8.2059,7.2607,4.7546,0.076673,484.75,146.57
Incineration of waste: Textiles,3.00E+05,15.874,21.579,640.39,1068.9,92.66,65.296,19973,740.16,5.0794,18.055,8.5865,7.2508,4.7641,0.077278,462.28,137.73
Incineration of waste: Wood,2.98E+05,15.726,21.23,640.46,1060.4,92.333,65.01,20010,740.7,5.0883,18.086,8.5972,7.2561,4.7675,0.077252,463.56,138.14
Incineration of waste: Oil/Hazardous waste,3.76E+05,22.442,34.769,660.49,1429.9,110.85,80.436,20274,760.11,5.2017,18.293,8.705,7.2988,4.7983,0.077164,469.61,139.84
"Biogasification of food waste, incl. land application",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biogasification of paper, incl. land application",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biogasification of sewage slugde, incl. land application",2.45E+05,13.509,15.268,579.54,834.31,92.03,65.302,23878,596.48,4.4476,20.413,8.6019,7.7507,5.0676,1.7544,2464.2,237.47
"Composting of food waste, incl. land application",4.16E+05,20.939,32.386,878.11,1458,116.99,80.636,21625,1024.1,4.6408,17.813,8.2314,7.4459,4.8813,0.12855,530.63,142.13
"Composting of paper and wood, incl. land application",2.55E+05,12.37,15.327,607.12,866.19,81.791,56.636,18642,576.81,3.8627,16.603,7.556,6.9889,4.565,0.12816,497.06,135.03
"Waste water treatment, food",5.38E+05,38.976,73.176,525.94,2294,137.49,107.31,20475,532.31,2.6993,9.7721,5.1239,7.3126,4.2751,117.79,1.30E+05,3270.1
"Waste water treatment, other",1.73E+06,141.86,281.08,788.37,7979.8,414.94,339.43,23105,592.46,2.9427,10.513,5.6344,8.417,4.8818,15.348,17067,478.61
Landfill of waste: Food,2.32E+05,12.883,18.119,530.28,784.64,81.289,58.572,22115,869.31,5.595,19.209,9.1125,7.5121,4.9927,0.49601,960.79,159.61
Landfill of waste: Paper,2.22E+05,12.408,16.844,507.8,758.09,79.019,56.995,21311,760.28,5.0913,18.608,8.6891,7.3803,4.8887,0.076741,491.35,147.01
Landfill of waste: Plastic,2.18E+05,12.19,15.86,499.03,748.45,78.033,56.27,21000,716.64,4.9803,18.472,8.5967,7.3372,4.8533,0.076758,489.29,146.78
Landfill of waste: Inert/metal/hazardous,2.19E+05,12.278,16.444,502.11,751.34,78.404,56.554,21084,729.87,4.957,18.446,8.5761,7.3436,4.8596,0.076757,489.05,146.66
Landfill of waste: Textiles,2.13E+05,11.962,15.072,489.74,737.72,77.033,55.542,20636,665.66,4.8029,18.26,8.4489,7.2831,4.8095,0.076783,486.44,146.45
Landfill of waste: Wood,2.14E+05,11.986,15.128,490.67,738.92,77.128,55.61,20676,671.46,4.8366,18.298,8.4767,7.2899,4.8149,0.076779,486.83,146.49
Activities of membership organisation n.e.c.,3.58E+05,22.112,30.764,558.91,1298.5,93.21,67.981,10506,417.1,2.9777,12.348,6.3301,5.3298,3.514,0.014118,288.9,52.989
"Recreational, cultural and sporting activities",3.52E+05,21.504,28.062,562.41,1237.5,87.001,61.886,8136.8,377.9,2.5464,9.9412,4.8375,3.7473,2.4852,0.016773,212.31,53.373
Other service activities,3.55E+05,19.96,24.563,688.08,1203,96.966,67.525,16140,461.53,6.9483,17.053,9.7679,7.1259,4.4837,0.024966,415.05,75.369
Private households with employed persons,37374,3.5266,4.4079,9.2913,132.98,7.0169,5.6443,0,0,0,0,0,0,0,0,0,0
Extra-territorial organizations and bodies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
