,year,quarter,alc,all,cerealandbake,dairy,fatsandoils,foodathome,foodaway,food,fruitsandveg,meatpoultryfisheggs,otherfood,sugarandsweets
90,1989,3,124.23333333333333,124.60000000000001,134.0,114.89999999999999,121.53333333333335,125.16666666666667,128.23333333333332,125.8,140.20000000000002,122.03333333333335,119.86666666666667,120.5
91,1989,4,125.73333333333333,125.86666666666667,135.46666666666667,120.43333333333334,121.39999999999999,126.56666666666666,129.46666666666667,126.93333333333334,140.76666666666665,122.86666666666667,120.56666666666668,121.03333333333335
92,1990,1,127.09999999999998,128.03333333333333,137.29999999999998,126.5,123.7,130.73333333333335,131.03333333333333,131.0666666666667,151.56666666666666,126.83333333333333,121.33333333333333,122.8
93,1990,2,128.53333333333333,129.29999999999998,139.43333333333337,124.93333333333334,124.93333333333334,131.0,132.96666666666667,131.53333333333333,145.73333333333332,128.83333333333331,122.53333333333335,124.16666666666667
94,1990,3,130.1,131.53333333333333,141.16666666666666,126.86666666666667,127.39999999999999,133.20000000000002,134.26666666666668,132.93333333333334,149.23333333333332,131.00000000000003,124.3,125.43333333333334
95,1990,4,131.23333333333332,133.76666666666668,142.0,127.8,129.29999999999998,134.39999999999998,135.36666666666665,133.93333333333334,149.23333333333332,133.26666666666665,125.60000000000001,126.36666666666667
96,1991,1,140.46666666666667,134.76666666666668,144.3,125.10000000000001,132.66666666666666,135.06666666666666,136.16666666666666,135.70000000000002,152.26666666666668,133.46666666666667,126.73333333333333,127.56666666666666
97,1991,2,142.46666666666667,135.56666666666666,145.4,124.26666666666667,132.4,136.86666666666665,137.5,136.9,162.1,132.86666666666665,127.23333333333333,128.96666666666667
98,1991,3,143.73333333333332,136.6,146.26666666666668,124.60000000000001,131.6,135.66666666666666,138.66666666666666,136.16666666666666,154.9333333333333,132.4333333333333,127.39999999999999,129.93333333333337
99,1991,4,144.5,137.73333333333332,147.26666666666665,126.43333333333334,130.26666666666668,135.6,139.33333333333334,136.23333333333332,153.29999999999998,131.63333333333335,127.7,130.66666666666666
100,1992,1,145.76666666666665,138.66666666666666,149.3,128.03333333333333,130.6,135.9333333333333,139.9,137.6,153.96666666666667,130.26666666666668,128.43333333333337,132.4333333333333
101,1992,2,147.03333333333333,139.73333333333335,150.96666666666667,127.39999999999999,130.06666666666666,136.20000000000002,140.43333333333334,137.63333333333333,154.43333333333334,130.33333333333334,128.76666666666668,133.06666666666666
102,1992,3,147.70000000000002,140.79999999999998,152.70000000000002,129.06666666666666,129.76666666666665,137.23333333333332,141.0,137.9,155.96666666666667,131.0,129.06666666666666,133.76666666666668
103,1992,4,148.49999999999997,142.03333333333333,152.93333333333334,129.53333333333333,128.9333333333333,137.83333333333331,141.46666666666667,138.43333333333334,156.96666666666667,131.79999999999998,129.03333333333333,132.9333333333333
104,1993,1,149.03333333333333,143.06666666666666,154.29999999999998,129.03333333333333,130.36666666666665,138.4,142.20000000000002,139.93333333333337,156.33333333333334,133.36666666666667,129.46666666666667,133.06666666666666
105,1993,2,149.26666666666665,144.1,156.13333333333335,128.6,129.9,139.73333333333332,142.93333333333334,140.70000000000002,158.49999999999997,135.6,130.1,133.23333333333335
106,1993,3,149.76666666666668,144.76666666666668,157.46666666666667,130.1,130.16666666666666,140.16666666666666,143.6,140.73333333333335,157.0,136.03333333333333,130.63333333333333,133.4
107,1993,4,150.5,145.96666666666667,158.29999999999998,129.73333333333332,129.53333333333333,141.9,144.16666666666666,142.06666666666666,163.5,136.86666666666665,131.56666666666666,133.7
108,1994,1,151.1,146.70000000000002,160.66666666666666,131.73333333333332,131.79999999999998,142.36666666666667,144.63333333333335,143.26666666666668,161.83333333333334,137.23333333333332,132.06666666666666,135.26666666666668
109,1994,2,151.26666666666665,147.53333333333333,162.73333333333335,132.0,133.36666666666667,142.83333333333334,145.29999999999998,143.46666666666667,161.4,137.63333333333333,132.70000000000002,135.4333333333333
110,1994,3,151.5666666666667,148.9,164.46666666666667,131.63333333333335,134.46666666666667,145.1,145.9,144.66666666666666,166.26666666666668,137.33333333333334,138.0666666666667,135.23333333333332
111,1994,4,152.06666666666666,149.76666666666668,164.16666666666666,131.6,134.5,146.03333333333333,146.76666666666668,145.70000000000002,170.6,136.4333333333333,139.66666666666666,134.86666666666667
112,1995,1,152.4,150.86666666666665,165.23333333333332,132.33333333333331,136.66666666666669,147.26666666666665,147.70000000000002,147.4333333333333,174.43333333333337,137.29999999999998,140.16666666666666,135.9
113,1995,2,153.53333333333333,152.1,167.0,132.36666666666665,136.89999999999998,148.7,148.56666666666666,148.20000000000002,180.30000000000004,137.83333333333334,140.5666666666667,137.1
114,1995,3,154.46666666666667,152.86666666666667,168.46666666666667,132.66666666666669,137.63333333333333,149.03333333333333,149.36666666666667,148.46666666666667,178.5,138.83333333333334,141.0666666666667,138.39999999999998
115,1995,4,155.2,153.70000000000002,169.16666666666666,133.96666666666667,137.86666666666667,150.00000000000003,150.20000000000002,149.5666666666667,177.43333333333337,141.03333333333333,141.29999999999998,138.70000000000002
116,1996,1,156.46666666666667,155.06666666666666,171.86666666666667,136.73333333333332,139.83333333333334,151.46666666666667,150.9,151.13333333333333,179.1,142.4,141.73333333333335,141.76666666666668
117,1996,2,158.0,156.4,173.69999999999996,138.13333333333335,140.23333333333332,153.1,151.96666666666667,152.29999999999998,184.76666666666665,142.7,142.63333333333333,143.13333333333333
118,1996,3,159.13333333333333,157.29999999999998,174.83333333333334,144.43333333333334,140.96666666666667,155.1,153.13333333333333,153.83333333333334,184.73333333333335,145.50000000000003,143.23333333333335,144.86666666666667
119,1996,4,160.46666666666667,158.66666666666666,175.4,149.0666666666667,141.03333333333333,157.4,154.63333333333333,155.86666666666667,186.66666666666666,148.46666666666667,144.20000000000002,144.86666666666665
120,1997,1,161.53333333333333,159.63333333333335,176.63333333333333,146.70000000000002,142.46666666666667,157.4,155.63333333333333,156.53333333333333,186.33333333333334,148.6,144.9,146.8
121,1997,2,162.4,160.0,177.33333333333334,145.0666666666667,142.0,157.5,156.36666666666667,156.6,185.13333333333333,148.5,147.03333333333333,147.96666666666667
122,1997,3,163.36666666666667,160.8,178.33333333333334,143.4,141.6,158.43333333333334,157.43333333333334,157.5,188.16666666666666,148.7,148.70000000000002,148.5
123,1997,4,163.96666666666667,161.66666666666666,178.26666666666665,146.83333333333334,140.8,159.20000000000002,158.6,158.46666666666667,190.26666666666665,148.29999999999998,148.73333333333332,147.83333333333334
124,1998,1,164.73333333333332,162.0,179.4333333333333,148.13333333333333,141.4,160.16666666666666,159.56666666666663,159.66666666666666,196.1,147.83333333333331,148.93333333333334,150.23333333333332
125,1998,2,165.20000000000002,162.53333333333333,180.76666666666665,148.23333333333335,141.73333333333332,160.5,160.49999999999997,160.0666666666667,198.6,147.20000000000002,149.56666666666666,150.03333333333333
126,1998,3,165.96666666666667,163.36666666666667,182.13333333333333,150.53333333333333,149.89999999999998,161.16666666666666,161.5666666666667,160.86666666666667,197.73333333333335,147.1,151.6,150.3
127,1998,4,167.03333333333333,164.13333333333333,182.19999999999996,156.16666666666666,154.6,162.66666666666666,162.63333333333333,162.13333333333335,200.23333333333335,147.13333333333333,153.10000000000002,150.0666666666667
128,1999,1,168.20000000000002,164.73333333333332,183.83333333333334,161.66666666666666,150.26666666666665,163.53333333333333,163.83333333333334,163.4,201.36666666666667,147.0,152.96666666666667,151.33333333333334
129,1999,2,169.20000000000002,165.96666666666667,185.19999999999996,156.13333333333333,147.9,163.83333333333334,164.5666666666667,163.5666666666667,203.63333333333333,147.53333333333333,153.36666666666667,152.36666666666667
130,1999,3,170.26666666666668,167.2,185.4666666666667,156.96666666666667,148.4,164.23333333333332,165.5,164.20000000000002,204.46666666666667,147.9,153.70000000000002,152.86666666666667
131,1999,4,171.16666666666666,168.43333333333334,185.29999999999998,163.6,146.46666666666667,165.33333333333334,166.5,165.23333333333332,203.03333333333333,149.4,153.76666666666668,152.56666666666666
132,2000,1,172.96666666666667,170.1,185.9,160.13333333333333,146.16666666666666,165.9333333333333,167.56666666666663,166.29999999999998,202.4666666666667,151.43333333333337,154.5,154.60000000000002
